公司名字:广州市雅蔻化妆品有限公司, 法人:李金中, 地址:广州市白云区太和镇永兴村陈太路工业区第七社
公司名字:佛山市喜妆化妆品有限公司, 法人:陈城锋, 地址:佛山市三水区乐平镇西二环东辅道19号2座(住所申报）
公司名字:佛山市南海施乐华化妆品有限公司, 法人:徐联森, 地址:佛山市南海区丹灶镇金沙南沙新墟
公司名字:广州市丹莹化妆品有限公司, 法人:马炳杰, 地址:广州市白云区太和镇永兴大岭顶路23号
公司名字:广州靓妆化妆品制造有限公司, 法人:赵洪英, 地址:广州市白云区南岭岗埔路五街4号A栋五楼、B栋202
公司名字:河南中研生物工程有限公司, 法人:刘连芳, 地址:驻马店市产业集聚区
公司名字:陆丰市雅宝日用品有限公司, 法人:李俊锋, 地址:陆丰市东海经济开发区第十二小区内西南侧
公司名字:广州玖泰生物科技有限公司, 法人:江协友, 地址:广州市白云区太和镇南村火南庄2号（自主申报）
公司名字:广州雅奕生物科技有限公司, 法人:高亚文, 地址:广州市白云区白云湖街大朗南路8号兴隆工业区3栋3楼
公司名字:广州市海露化妆品有限公司, 法人:叶绍祥, 地址:广州市白云区太和镇龙归南村第2工业区大坑边
公司名字:广州杨森生物科技有限公司, 法人:王杰, 地址:广州市白云区白云湖街夏茅十一社新工业区大松园1号3、4楼
公司名字:广州集芳丹生物科技有限公司, 法人:张军, 地址:广州市白云区均禾街罗岗村十社环村北路自编81号三楼
公司名字:广州赛莱拉生物基因工程有限公司, 法人:张满, 地址:广州市从化区城郊街横江路339号-29A栋
公司名字:河南九九一生物科技有限公司, 法人:王军英, 地址:三门峡市湖滨区工业园区河堤东路
公司名字:天津国民健康技术有限公司, 法人:戴一余, 地址:天津滨海高新区华苑产业区（环外）海泰发展五道8号2-6号厂房
公司名字:天津金汇药业集团有限公司, 法人:程绍国, 地址:西青区杨柳青柳霞路98号
公司名字:长春长影集团化妆品有限公司, 法人:宋美欧, 地址:长春市朝阳区南湖大路6299号
公司名字:惠州汇优生物科技有限公司, 法人:张薪薪, 地址:广东省惠州市龙门县金山工业园龙门红工业区23栋厂房2楼
公司名字:广州市柏菲化妆品有限公司, 法人:颜玲, 地址:广州市白云区嘉禾街新科上村田顶大街16号
公司名字:福建省博济生物技术有限公司, 法人:卢桂烽, 地址:龙岩市新罗区西陂街道民园路19号（福建龙州工业园）仓储配送中心301号
公司名字:大连美诗诺生物科技有限公司, 法人:刘常江, 地址:辽宁省大连市拥政街道红塔村小阎家楼357-3号5层
公司名字:广州贝伊美生物科技有限公司, 法人:程灵彬, 地址:广州市白云区嘉禾街道长红东路55号
公司名字:广州谊妍和生物技术有限公司, 法人:王英, 地址:广州市白云区太和镇永兴和兴东街8号（自主申报）
公司名字:广州悦木生花生物科技有限公司, 法人:杜伟, 地址:广州市白云区太和镇南村蓝穗二横路2号
公司名字:广州碧梦生物科技有限公司, 法人:刘俊雅, 地址:广州市白云区太和镇南岭岗埔五街8号3楼（自主申报）
公司名字:广州膜谷化妆品有限公司, 法人:张选峰, 地址:广州市白云区江高镇凤翔中路36号202房（自主申报）
公司名字:广州市采奴化妆品有限公司, 法人:李瑞辉, 地址:广州市白云区罗岗村七星岗工业区八号
公司名字:广州御艾化妆品有限公司, 法人:李菊桃, 地址:广州市白云区嘉禾街长红村茶园岗地段六社自编8号
公司名字:广州汉植化妆品制造有限公司, 法人:彭建红, 地址:广州市白云区南岭岗埔路五街4号二楼
公司名字:铜陵洁雅生物科技股份有限公司, 法人:蔡英传, 地址:安徽省铜陵市狮子山经济开发区地质大道528号
公司名字:汕头市欧碧泉生物科技有限公司, 法人:刘小洪, 地址:汕头市龙湖区新溪镇十一合村友谊路东7号之一
公司名字:东莞市永霏化妆品有限公司, 法人:张彩霞, 地址:广东省东莞市清溪镇清溪松岗一街6号1栋101室
公司名字:安徽万春日化有限公司, 法人:刘宁, 地址:安徽省阜阳市太和县经济开发区C区
公司名字:贵州华波日化有限公司, 法人:晏科, 地址:贵州省黔南布依族苗族自治州龙里县经济开发区谷脚工业园
公司名字:武汉东信医药科技有限责任公司, 法人:陈长根, 地址:武汉市蔡甸区常福新城15号地
公司名字:广州市名仁堂生物医药科技有限公司, 法人:郭秋莹, 地址:广州市白云区均禾街清湖大塘大道12号（自主申报）
公司名字:广州市禾慕生物科技有限公司, 法人:张辉, 地址:广州市白云区钟落潭镇金盆安乐路7号1栋101房（自主申报）
公司名字:广州贝研生物科技有限公司, 法人:苏志旭, 地址:广州市黄埔区永安大道128号A1栋之二101房，A1栋之二201房，A1栋之二301房
公司名字:广州赫兰迪生物科技有限公司, 法人:周金英, 地址:广州市花都区花山镇华辉路18号微观化妆品创意产业园A栋A01号
公司名字:广州中科蓝生物科技有限公司, 法人:汪鸿江, 地址:广州市花都区花山镇华辉路18号微观化妆品创意产业园B栋B01号
公司名字:广州四季康妍生物科技有限公司, 法人:黄茂兴, 地址:广州市白云区广陈路933号之二301室（自主申报）
公司名字:广州市欣婷生物科技有限公司, 法人:谭新明, 地址:广州市白云区人和镇凤和村凤和工业区8号
公司名字:广州洁颜美化妆品有限公司, 法人:谢青巧, 地址:广州市白云区白云湖街唐阁一社工业园一幢第三、五层
公司名字:广州美呈化妆品有限公司, 法人:余志聪, 地址:广州市白云区人和镇太岗路128号
公司名字:焦作大安日用化工有限公司, 法人:梁尔武, 地址:武陟县城工业南路219号
公司名字:洛阳科迪艺思化妆品有限公司, 法人:胡红光, 地址:洛阳市西工区红山乡张岭村
公司名字:广西庆翠堂生物科技有限责任公司, 法人:黄中庆, 地址:南宁市洪历路2-6号现代光电科技工业园1号厂房401号车间
公司名字:湖北上山采药药业有限公司, 法人:殷显喨, 地址:黄石市经济技术开发区汪仁镇鹏程大道东118号
