店名: 金河餐厅, 地址: 友谊北路80号金河购物广场一层, 省市: 天津市, 天津市
店名: 友谊南路, 地址: 友谊南路与梨双路交汇处永旺梦乐城梅江一层171号, 省市: 天津市, 天津市
店名: 机场出发层, 地址: 滨海国际机场T2航站楼, 省市: 天津市, 天津市
店名: 北出站口, 地址: 后广场北出站口正对面负一层（检票口对过）, 省市: 天津市, 天津市
店名: 候车大厅精选, 地址: 天津站南站房D区二层10-12检票口, 省市: 天津市, 天津市
店名: 利津, 地址: 利津路商业区C区51号, 省市: 天津市, 天津市
店名: 双街, 地址: 双街镇双新大道永辉超一层, 省市: 天津市, 天津市
店名: 北宁湾, 地址: 迎贤道183号, 省市: 天津市, 天津市
店名: 友谊新都, 地址: 狮子林大街200号友谊新都商厦1层底商, 省市: 天津市, 天津市
店名: 军粮城, 地址: 八号桥军粮城示范镇军丽园29号楼底商, 省市: 天津市, 天津市
店名: 长江道, 地址: 南开区长江道92号创意园区底商肯德基, 省市: 天津市, 天津市
店名: 熙悦汇, 地址: 黄河道与密云路交口熙悦汇购物中心一、二层, 省市: 天津市, 天津市
店名: 团结餐厅, 地址: 大港区大港油田团结东路滨海商厦东门处一二层, 省市: 天津市, 天津市
店名: 靖江路餐厅, 地址: 增产道8号乐活坊项目1、2层, 省市: 天津市, 天津市
店名: 咸阳路, 地址: 红桥区咸阳路12号物美大卖场底商, 省市: 天津市, 天津市
店名: 津塘, 地址: 津塘路大本营淘宝城一层, 省市: 天津市, 天津市
店名: 海泰, 地址: 经济技术开发区黄海路98号B区101室一层, 省市: 天津市, 天津市
店名: 双桥河（世纪和福超市一层）, 地址: 津南区双桥河镇聚和园16号楼一层（世纪和福超市一层）, 省市: 天津市, 天津市
店名: 新黑牛城餐厅, 地址: 黑牛城道125号阳光商业广场, 省市: 天津市, 天津市
店名: 天津鑫美力餐饮管理有限公司柳林DT餐厅, 地址: 大沽南路1118号, 省市: 天津市, 天津市
店名: 新华, 地址: 新华路163号, 省市: 天津市, 天津市
店名: 嘉华, 地址: 新开路与华昌大街交口嘉华商业中心一层, 省市: 天津市, 天津市
店名: 中山门餐厅, 地址: 中山门中心东道新华楼101-306号, 省市: 天津市, 天津市
店名: 武清荔隆, 地址: 新城南财源道南侧荔隆广场一层, 省市: 天津市, 天津市
店名: 永莲, 地址: 黄海路19号永莲购物中心, 省市: 天津市, 天津市
店名: 环河北路, 地址: SM天津城市广场A栋一层A1015-C, 省市: 天津市, 天津市
店名: 远洋未来汇, 地址: 津塘公路北远洋中心路89号远洋未来汇购物中心一层, 省市: 天津市, 天津市
店名: 金元宝, 地址: 解放路668号, 省市: 天津市, 天津市
店名: 新港二号路, 地址: 新港二号路金元宝于家堡购物中心一层, 省市: 天津市, 天津市
店名: 州河湾广场, 地址: 中昌南大道2号一层, 省市: 天津市, 天津市
店名: 金桥国贸餐厅, 地址: 静海镇东方红路南侧、胜利大街东侧金桥国贸购物中心一层二层, 省市: 天津市, 天津市
店名: 丽津, 地址: 利津路商业区C区51号, 省市: 天津市, 天津市
店名: 张家窝, 地址: 张家窝辛老路与规划二支路交口东侧物美超一层, 省市: 天津市, 天津市
店名: 东风, 地址: 张贵庄路160号增1号, 省市: 天津市, 天津市
店名: 金河, 地址: 友谊北路80号金河购物广场一层, 省市: 天津市, 天津市
店名: 珠峰, 地址: 小海地曲江路15号1层, 省市: 天津市, 天津市
店名: 泰达城, 地址: 河北大街与新三条石大街交口, 省市: 天津市, 天津市
店名: 西站出站层, 地址: 西站火车站候车大厅负一层, 省市: 天津市, 天津市
店名: 丁字沽餐厅, 地址: 本溪路19号, 省市: 天津市, 天津市
店名: 港东, 地址: 大港世纪大道港东新天地商业广场一层, 省市: 天津市, 天津市
店名: 南京路, 地址: 南京路199号101-111，201-111, 省市: 天津市, 天津市
店名: 和平路一餐厅, 地址: 天河城商场八楼, 省市: 天津市, 天津市
店名: 围堤道, 地址: 围堤道212 号一、二层, 省市: 天津市, 天津市
店名: 和平路二, 地址: 和平路263号天河城购物中心地下一层, 省市: 天津市, 天津市
店名: 新世纪广场, 地址: 静海县东方红路北侧、朝阳道西侧、新世纪小区南侧新世纪广场路一层, 省市: 天津市, 天津市
店名: 舜新餐厅, 地址: 小站镇舜新城市广场一层, 省市: 天津市, 天津市
店名: 辛庄永旺餐厅, 地址: 辛庄镇津沽公路与鑫怡路交口永旺梦乐城一层177号, 省市: 天津市, 天津市
店名: 滨海伊势丹餐厅, 地址: 第二大街62号地下一层M06及M04铺位, 省市: 天津市, 天津市
店名: 秀谷餐厅, 地址: 秀谷商城1A1B2A2B一层, 省市: 天津市, 天津市
店名: 太阳城餐厅, 地址: 龙山道与天山北路交口, 省市: 天津市, 天津市
店名: 滨海万达甜品站餐厅, 地址: 上海道与洞庭路交口, 省市: 天津市, 天津市
店名: 滨海万达餐厅, 地址: 紫云公园西侧万达商场一楼底商, 省市: 天津市, 天津市
店名: 天津机场T2安检内餐厅, 地址: 滨海国际机场T2航站楼商业区域隔离区二层次核心区218登机口对面, 省市: 天津市, 天津市
店名: 天津红街购物餐厅, 地址: 静海县大邱庄镇泰山路红街购物一层, 省市: 天津市, 天津市
店名: 滨海新区大连东道餐厅, 地址: 滨海新区自贸试验区（中心商务区）旭升路347号滨海新区文化中心, 省市: 天津市, 天津市
店名: 天津西北角餐厅, 地址: 大丰路18号, 省市: 天津市, 天津市
店名: 中铁国际城, 地址: 金钟河大街245号中铁国际城商场一、二层, 省市: 天津市, 天津市
店名: 友谊新都餐厅, 地址: 狮子林大街200号友谊新都百货一层, 省市: 天津市, 天津市
店名: 天津世纪都会餐厅, 地址: 南京路181.183号世纪都会商厦，第一层132号及第负一层B132a号, 省市: 天津市, 天津市
