店名: 叮叮MALL甜品站, 地址: 劳动西路337号叮叮商业广场B1层1001商铺, 省市: 湖南省, 长沙市
店名: G58, 地址: 万家丽中路三段206号瑞景大厦1层, 省市: 湖南省, 长沙市
店名: 理工大学, 地址: 赤岭路219号旭和大厦一二层, 省市: 湖南省, 长沙市
店名: 凯德壹中心, 地址: 茶子山东路112号凯德壹中心LG层24/25号房屋, 省市: 湖南省, 长沙市
店名: 方圆荟, 地址: 岳麓区望城坡街道枫林三路49号湘江新区综合交通枢纽备班楼T3栋购物广场一层, 省市: 湖南省, 长沙市
店名: 凯德壹中心甜品站, 地址: 茶子山东路112号凯德壹中心L3层20号房屋, 省市: 湖南省, 长沙市
店名: 板仓路甜品站, 地址: 星沙板仓路中茂城五楼, 省市: 湖南省, 长沙市
店名: 芒果馆, 地址: 三一大道综合农场湖南国际会展中心东附楼一层, 省市: 湖南省, 长沙市
店名: 五一广场, 地址: 五一大道与黄兴路交汇处2751YOLO城市广场负二层, 省市: 湖南省, 长沙市
店名: 八方, 地址: 观沙路268号24品生活方式中心G层, 省市: 湖南省, 长沙市
店名: 机场安检内外卖站, 地址: 长沙黄花国际机场T2航站楼的西式餐厅项目, 省市: 湖南省, 长沙市
店名: 览秀城, 地址: 环湖路1177号方茂苑二期12栋览秀城L1层L121号商铺, 省市: 湖南省, 长沙市
店名: 宁邦广场, 地址: 宁乡县历经铺乡新宝塔村创业大道以东、沩江大道以北、金全路以南宁邦广场一层, 省市: 湖南省, 长沙市
店名: 喜乐汇, 地址: 雨花区香樟路819号通程喜乐汇1层, 省市: 湖南省, 长沙市
店名: 南国新城, 地址: 天心区书院南路115号一层, 省市: 湖南省, 长沙市
店名: 浔龙河, 地址: 果园镇浔龙河村、花果村“浔龙河时光潇湘”商住小区建设项目S4-1栋一层101~108号商铺, 省市: 湖南省, 长沙市
店名: 新东风路, 地址: 东风路9号公园九号博度公寓项目商业裙楼一层, 省市: 湖南省, 长沙市
店名: 阳光100凤凰街, 地址: 阳光100凤凰街19栋1001号肯德基, 省市: 湖南省, 长沙市
店名: 梦想城, 地址: 月亮岛街道银星路和金甲冲路交叉口西北角新华联梦想城35#商业一层, 省市: 湖南省, 长沙市
店名: 美来美DT, 地址: 望城区丁字湾街道芙蓉北路与游园路交叉口东南角美来美商业广场, 省市: 湖南省, 长沙市
店名: 麓谷小镇, 地址: 尖山路709路麓谷小镇17栋一层, 省市: 湖南省, 长沙市
店名: 格林春天, 地址: 宁乡县新康西路与安康路交汇处格林春天一层, 省市: 湖南省, 长沙市
店名: 花侯吾悦, 地址: 劳动东路与花侯路交汇处新城吾悦广场1042号商铺, 省市: 湖南省, 长沙市
店名: 赤岗冲, 地址: 劳动路117号, 省市: 湖南省, 长沙市
店名: 筑梦星园, 地址: 湘龙街道特立西路36号筑梦星园一期5栋商业134一层, 省市: 湖南省, 长沙市
店名: 迎新路, 地址: 迎新路与五凌路交汇处湘天禧悦会湘天禧街一层, 省市: 湖南省, 长沙市
店名: 五江天街, 地址: 木莲路230号一、二层, 省市: 湖南省, 长沙市
店名: 洋湖水街, 地址: 潭州大道336号A1栋1号、二层1号、三层1号, 省市: 湖南省, 长沙市
店名: 树木岭, 地址: 劳动路以北，东二环以东康亨里一层, 省市: 湖南省, 长沙市
店名: 未来漫城, 地址: 星沙镇星沙大道东、滨湖路南、北环路北未来漫城一层, 省市: 湖南省, 长沙市
店名: 白龙路, 地址: 玉潭街道二环南路与白龙路交汇处天恒生活广场, 省市: 湖南省, 长沙市
店名: 湘桦广场, 地址: 榔梨街道梨江大道105号波隆城市花园1栋170湘桦广场一层101/102商, 省市: 湖南省, 长沙市
店名: 小塘路, 地址: 长沙县泉塘街道小塘路81号紫云阁1、2、3栋101号商铺, 省市: 湖南省, 长沙市
