店名: 中亚, 地址: 天目西路235号, 省市: 上海市, 上海市
店名: 宝山, 地址: 宝山区牡丹江路1688号, 省市: 上海市, 上海市
店名: 汇金, 地址: 肇嘉浜路998号, 省市: 上海市, 上海市
店名: 朋普, 地址: 共和新路4460号, 省市: 上海市, 上海市
店名: 田林, 地址: 田林路1号, 省市: 上海市, 上海市
店名: 长寿, 地址: 长寿路401号（亚新生活广场2楼）, 省市: 上海市, 上海市
店名: 闵行, 地址: 江川路279号, 省市: 上海市, 上海市
店名: 曼克顿, 地址: 南京东路463-477号（曼克顿广场一楼）, 省市: 上海市, 上海市
店名: 海光, 地址: 大木桥路370号, 省市: 上海市, 上海市
店名: 嘉定, 地址: 清河路8号, 省市: 上海市, 上海市
店名: 浦三, 地址: 浦东南路2551号, 省市: 上海市, 上海市
店名: 仙霞, 地址: 仙霞路606号, 省市: 上海市, 上海市
店名: 乐购, 地址: 七莘路3155号, 省市: 上海市, 上海市
店名: 大润发, 地址: 黄兴路1616号, 省市: 上海市, 上海市
店名: 青浦, 地址: 青浦镇公园路461号, 省市: 上海市, 上海市
店名: 中原, 地址: 中原路188号, 省市: 上海市, 上海市
店名: 金杨, 地址: 金杨路524号, 省市: 上海市, 上海市
店名: 打浦桥, 地址: 徐家汇路679号, 省市: 上海市, 上海市
店名: 共康, 地址: 共江路1168号, 省市: 上海市, 上海市
店名: 大华, 地址: 华灵路1051号, 省市: 上海市, 上海市
店名: 长风, 地址: 金沙江路588号, 省市: 上海市, 上海市
店名: 共和, 地址: 共和新路3318号, 省市: 上海市, 上海市
店名: 铜川, 地址: 铜川路1688号, 省市: 上海市, 上海市
店名: 莲花, 地址: 上南路3521号, 省市: 上海市, 上海市
店名: 川沙, 地址: 新川路401号, 省市: 上海市, 上海市
店名: 崇明, 地址: 城桥镇八一路138号, 省市: 上海市, 上海市
店名: 体育场, 地址: 天钥桥路666号, 省市: 上海市, 上海市
店名: 福州, 地址: 福州路556号, 省市: 上海市, 上海市
店名: 金山, 地址: 卫零路136号, 省市: 上海市, 上海市
店名: 桃浦, 地址: 雪松路368号, 省市: 上海市, 上海市
店名: 延吉, 地址: 靖宇东路280号, 省市: 上海市, 上海市
店名: 莘庄, 地址: 莘东路255号, 省市: 上海市, 上海市
店名: 吴淞, 地址: 水产路1234号1F, 省市: 上海市, 上海市
店名: 朱泾, 地址: 朱泾镇公园路246弄51号, 省市: 上海市, 上海市
店名: 安亭, 地址: 安亭镇昌吉路188号, 省市: 上海市, 上海市
店名: 银城, 地址: 陆家嘴西路168号正大广场5楼, 省市: 上海市, 上海市
店名: 上海四平, 地址: 杨浦区四平路903号肯德基, 省市: 上海市, 上海市
店名: 由由, 地址: 杨高南路1685号, 省市: 上海市, 上海市
店名: 丰庄, 地址: 曹安公路1685号近丰庄路, 省市: 上海市, 上海市
店名: 七莘, 地址: 七莘路695号, 省市: 上海市, 上海市
店名: 磁浮, 地址: 浦东机场磁悬浮站台2层A01商铺, 省市: 上海市, 上海市
店名: 高桥, 地址: 大同路409号, 省市: 上海市, 上海市
店名: 城中, 地址: 城中路2号, 省市: 上海市, 上海市
店名: 嫩江, 地址: 中原路102号, 省市: 上海市, 上海市
店名: 上海乳山餐厅, 地址: 乳山路136号, 省市: 上海市, 上海市
店名: 南桥, 地址: 解放中路400号, 省市: 上海市, 上海市
店名: 东川, 地址: 东川路2088号－2098号, 省市: 上海市, 上海市
店名: 五莲, 地址: 张扬北路801号, 省市: 上海市, 上海市
店名: 荣乐, 地址: 荣乐中路552号, 省市: 上海市, 上海市
店名: 盈港, 地址: 青浦镇盈港路555号, 省市: 上海市, 上海市
店名: 甘泉, 地址: 志丹路135号（甘泉路志丹路口）, 省市: 上海市, 上海市
店名: 金高, 地址: 金高路1256号, 省市: 上海市, 上海市
店名: 月浦, 地址: 龙镇路75号肯德基内, 省市: 上海市, 上海市
店名: 和平, 地址: 西藏中路290号, 省市: 上海市, 上海市
店名: 赤峰, 地址: 虹口区中山北一路422号（广纪路65号对面）赤峰路轻轨站1楼, 省市: 上海市, 上海市
店名: 大宁, 地址: 广中西路758号, 省市: 上海市, 上海市
店名: 万里, 地址: 新村路1500号, 省市: 上海市, 上海市
店名: 通园, 地址: 张杨北路5537号, 省市: 上海市, 上海市
店名: 博乐, 地址: 博乐路99号, 省市: 上海市, 上海市
店名: 北门, 地址: 北门大街13号, 省市: 上海市, 上海市
店名: 龙城, 地址: 七莘路3655号, 省市: 上海市, 上海市
店名: 虎城, 地址: 大华路518号, 省市: 上海市, 上海市
店名: 康沈, 地址: 周浦康沈路1645-1649号, 省市: 上海市, 上海市
店名: 长临, 地址: 共康路555号, 省市: 上海市, 上海市
店名: 临汾, 地址: 临汾路700号, 省市: 上海市, 上海市
店名: 哈密, 地址: 仙霞西路88号百联西郊, 省市: 上海市, 上海市
店名: 瑞虹, 地址: 临平路123号, 省市: 上海市, 上海市
店名: 南翔, 地址: 南翔镇解放街160号, 省市: 上海市, 上海市
店名: 博文, 地址: 浦东南路3843号, 省市: 上海市, 上海市
店名: 牡丹江, 地址: 同泰北路401号, 省市: 上海市, 上海市
店名: 周家嘴, 地址: 周家嘴路4295号, 省市: 上海市, 上海市
店名: 通州, 地址: 通州路300号, 省市: 上海市, 上海市
店名: 罗香, 地址: 罗香路235号, 省市: 上海市, 上海市
店名: 漕东（轨道三号线漕溪路站）, 地址: 轻轨3号线漕溪站1楼, 省市: 上海市, 上海市
店名: 长征, 地址: 杨柳青路768号, 省市: 上海市, 上海市
店名: 春申, 地址: 春申路2801号, 省市: 上海市, 上海市
店名: 金汇, 地址: 华夏东路2255号, 省市: 上海市, 上海市
店名: 莘建, 地址: 水清南路20号, 省市: 上海市, 上海市
店名: 南丹, 地址: 天钥桥路333号, 省市: 上海市, 上海市
店名: 张江高科, 地址: 浦东新区碧波路635号传奇广场, 省市: 上海市, 上海市
店名: 国顺, 地址: 国顺东路188号, 省市: 上海市, 上海市
店名: 龙茗, 地址: 龙茗路1048号（近顾戴路）, 省市: 上海市, 上海市
店名: 朱家角, 地址: 青浦新风路148号, 省市: 上海市, 上海市
店名: 康桥, 地址: 康桥镇秀沿路1032-1080号, 省市: 上海市, 上海市
店名: 聚丰, 地址: 聚丰园路205号, 省市: 上海市, 上海市
店名: 延长, 地址: 延长中路314号, 省市: 上海市, 上海市
店名: 逸仙, 地址: 虹口区逸仙路580号, 省市: 上海市, 上海市
店名: 苗圃, 地址: 杨高中路2128号, 省市: 上海市, 上海市
店名: 南奉, 地址: 南奉公路8889号, 省市: 上海市, 上海市
店名: 保德, 地址: 保德路88号, 省市: 上海市, 上海市
店名: 新源, 地址: 川沙路4839号, 省市: 上海市, 上海市
店名: 联洋, 地址: 芳甸路193号, 省市: 上海市, 上海市
店名: 虬江, 地址: 虬江路760号, 省市: 上海市, 上海市
店名: 凌兆, 地址: 灵岩南路1026号, 省市: 上海市, 上海市
店名: 淞南, 地址: 长江南路553号, 省市: 上海市, 上海市
店名: 丁香, 地址: 世纪大道2002号, 省市: 上海市, 上海市
店名: 吴泾, 地址: 宝秀路667号, 省市: 上海市, 上海市
店名: 龙阳, 地址: 龙阳路2000号, 省市: 上海市, 上海市
店名: 怀德, 地址: 平凉路675号, 省市: 上海市, 上海市
店名: 汇川, 地址: 长宁路1018号B1层, 省市: 上海市, 上海市
店名: 石化, 地址: 卫清路858号, 省市: 上海市, 上海市
店名: 徐泾, 地址: 育才路257-267号, 省市: 上海市, 上海市
店名: 沪太, 地址: 静安区中山北路1015号, 省市: 上海市, 上海市
店名: 永泰, 地址: 东明路2655号, 省市: 上海市, 上海市
店名: 莘松, 地址: 莘松路855号, 省市: 上海市, 上海市
店名: 九亭, 地址: 九亭大街370号, 省市: 上海市, 上海市
店名: 龙之梦, 地址: 长宁路1018号8楼, 省市: 上海市, 上海市
店名: 合川, 地址: 虹中路535号, 省市: 上海市, 上海市
店名: 蕴川, 地址: 宝山区蕴川路1557号, 省市: 上海市, 上海市
店名: 松江新城, 地址: 新松江路935号, 省市: 上海市, 上海市
店名: 天潼餐厅, 地址: 天潼路538号, 省市: 上海市, 上海市
店名: 汽车城, 地址: 安亭镇新源路577号, 省市: 上海市, 上海市
店名: 八一餐厅, 地址: 城桥镇八一路488号, 省市: 上海市, 上海市
店名: 洛川, 地址: 洛川东路221号, 省市: 上海市, 上海市
店名: 御桥, 地址: 沪南公路2420号, 省市: 上海市, 上海市
店名: 人民餐厅, 地址: 惠南镇人民东路2635弄152-158号, 省市: 上海市, 上海市
店名: 共和新, 地址: 共和新路1968号, 省市: 上海市, 上海市
店名: 龙柏, 地址: 红松路505号, 省市: 上海市, 上海市
店名: 港澳, 地址: 水清路1390号, 省市: 上海市, 上海市
店名: 万达, 地址: 邯郸路608弄50号, 省市: 上海市, 上海市
店名: 新里程, 地址: 高清路2671号, 省市: 上海市, 上海市
店名: 环城, 地址: 南桥环城东路1468号, 省市: 上海市, 上海市
店名: 中环, 地址: 真光路1288号, 省市: 上海市, 上海市
店名: 玉田, 地址: 虹口区玉田路280号, 省市: 上海市, 上海市
店名: 迪美, 地址: 人民大道221号地下一层, 省市: 上海市, 上海市
店名: 淞沪, 地址: 凇沪路8号7楼, 省市: 上海市, 上海市
店名: 阳光小区, 地址: 南亭公路601号, 省市: 上海市, 上海市
店名: 嘉松, 地址: 沪青平公路2888号C区213号, 省市: 上海市, 上海市
店名: 鼎城, 地址: 惠南镇南门大街18号, 省市: 上海市, 上海市
店名: 大学城, 地址: 文汇路818号, 省市: 上海市, 上海市
店名: 罗秀, 地址: 罗秀路1825号, 省市: 上海市, 上海市
店名: 凯旋, 地址: 宜山路站一层宜山-3-101号, 省市: 上海市, 上海市
店名: 清河, 地址: 城中路162号, 省市: 上海市, 上海市
店名: 长海, 地址: 长海路361号, 省市: 上海市, 上海市
店名: 洲海, 地址: 外高桥保税区台中南路2号新贸楼1层, 省市: 上海市, 上海市
店名: 虹梅地铁, 地址: 沪闵路8073号, 省市: 上海市, 上海市
店名: 新客站, 地址: 秣陵路303号上海站南广场站内一层过安检电梯口旁, 省市: 上海市, 上海市
店名: 季景, 地址: 夏碧路261号, 省市: 上海市, 上海市
店名: 虹凯, 地址: 凯旋路1558号（轨道交通三号线虹桥路站）, 省市: 上海市, 上海市
店名: 新北新泾, 地址: 天山西路181号, 省市: 上海市, 上海市
店名: 宝翔, 地址: 丰翔路3168号, 省市: 上海市, 上海市
店名: 源泉, 地址: 控江路1100号, 省市: 上海市, 上海市
店名: 肇周, 地址: 西藏南路666号, 省市: 上海市, 上海市
店名: 汇宝, 地址: 漕宝路3459号一层A铺，二层A铺, 省市: 上海市, 上海市
店名: 宝宸, 地址: 长江西路2211号1层1FA-03号商铺, 省市: 上海市, 上海市
店名: 颛桥, 地址: 颛兴路89、93、113号一至二层, 省市: 上海市, 上海市
店名: 新八佰伴, 地址: 浦东南路1111号, 省市: 上海市, 上海市
店名: 东江湾, 地址: 东江湾路444号5号门小白楼101室一层, 省市: 上海市, 上海市
店名: 金浦, 地址: 七浦路258号一，二层, 省市: 上海市, 上海市
店名: 金沙江, 地址: 金沙江路1685号, 省市: 上海市, 上海市
店名: 成山, 地址: 成山路436号, 省市: 上海市, 上海市
店名: 贵都, 地址: 都市路3366号, 省市: 上海市, 上海市
店名: 安信, 地址: 宝山区牡丹江路1255号安信商业广场F区1-2楼, 省市: 上海市, 上海市
店名: 凉城联华, 地址: 虹口区车站南路370弄, 省市: 上海市, 上海市
店名: 丽园, 地址: 西藏南路1118号, 省市: 上海市, 上海市
