店名: 湖南路, 地址: 鼓楼区湖南路18号1楼+负1楼, 省市: 江苏省, 南京市
店名: 六合服务区西区, 地址: 境内长深高速公路的六合服务区西区一层, 省市: 江苏省, 南京市
店名: 六合服务区东区, 地址: 境内长深高速公路的六合服务区东区一层, 省市: 江苏省, 南京市
店名: 溧水万达, 地址: 高平大街55号万达广场一层铺位号【1001+1002A】, 省市: 江苏省, 南京市
店名: 六合欢乐港, 地址: 龙津路52号B1层（铺位号：B1039、B1052）, 省市: 江苏省, 南京市
店名: 燕子矶花园城, 地址: 栖霞区经五路二期西侧1号地块一层（铺位号：112）、二层（铺位号210）, 省市: 江苏省, 南京市
店名: 六合欢乐港甜品站, 地址: 龙津路48号六合欢乐港三层3019B号铺位, 省市: 江苏省, 南京市
店名: 玄武湖外卖点, 地址: 玄武湖景区环洲, 省市: 江苏省, 南京市
店名: 海乐城餐厅, 地址: 永阳镇中大街81号溧水国际中心（南京海乐城）一层（铺位号1F-36), 省市: 江苏省, 南京市
店名: 海乐城甜品站, 地址: 永阳镇中大街81号溧水国际中心南京海乐城六层（铺位号6F-12A), 省市: 江苏省, 南京市
店名: 东庐山, 地址: 溧水区宁杭高速公路东庐山服务区（宁杭向）, 省市: 江苏省, 南京市
店名: 岱山, 地址: 岱山北路15号荟邻生活广场1层1F-101号商铺, 省市: 江苏省, 南京市
店名: 南京肯德基有限公司华采天地甜品站, 地址: 建邺区江东中路258号华采天地地下一层B1F-01/21号铺位, 省市: 江苏省, 南京市
店名: 南京肯德基有限公司华采天地餐厅, 地址: 建邺区江东中路258号华采天地三层F3-32号铺位, 省市: 江苏省, 南京市
店名: 美龄宫外卖点(美龄宫对面驿站）, 地址: 中山陵9号美龄宫对面驿站, 省市: 江苏省, 南京市
店名: 明发永辉, 地址: 滨江大道1号明发永辉超市一、二层, 省市: 江苏省, 南京市
店名: 证大, 地址: 雨花台区民智路8号, 省市: 江苏省, 南京市
店名: 保利樾广场, 地址: 江宁区经贸学院路8号一层109-114号铺位, 省市: 江苏省, 南京市
店名: 南京南游客中心, 地址: 高铁五店  站外 靠近地铁6号口, 省市: 江苏省, 南京市
店名: 云锦路, 地址: 建邺区水西门大街云锦路地铁站1号出口处, 省市: 江苏省, 南京市
店名: 高淳宝龙, 地址: 轻轨西侧宝龙广场一楼肯德基, 省市: 江苏省, 南京市
店名: 龙湖六合天街, 地址: 中心一层铺位号1F-01古棠大道东侧、桥西路以南、滁河路西侧、文尚路以北六合龙湖天街（A地块）购物, 省市: 江苏省, 南京市
店名: 金马青创广场, 地址: 石狮路3号2幢金马青创广场一层A01号商铺, 省市: 江苏省, 南京市
店名: 南京南地铁站, 地址: 南京地铁1号线南京南站-1-南京南-04号商铺, 省市: 江苏省, 南京市
店名: 南湖熙乐汇, 地址: 建邺区南湖东路67号一层, 省市: 江苏省, 南京市
店名: 南京南站3, 地址: 京沪高铁南京南站三楼出发层夹层, 省市: 江苏省, 南京市
店名: 丁家庄悦拾光, 地址: 凤霞路10号一层, 省市: 江苏省, 南京市
店名: 曙光天地, 地址: 夫子庙来燕路1号曙光天地1层沿街, 省市: 江苏省, 南京市
店名: 江宁龙湖, 地址: 竹山路与谭园路交汇处龙湖南京龙湾天街, 省市: 江苏省, 南京市
店名: 弘阳独立甜品站, 地址: 大桥北路48号弘阳广场B2馆一楼, 省市: 江苏省, 南京市
